fiscal_year,year,month,month_name,season,store_name,category,price_band,channel,bills,units,revenue,gross_margin
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,44,66,81385.54,25229.51
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Cotton Saree,Value,Online,17,23,34478.79,10688.42
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Cotton Saree,Value,Walk-in,109,128,182772.13,56659.38
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,36,38,59048.73,18305.1
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,22,23,77689.57,26414.44
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Fancy Saree,Mid,Online,12,16,47685.65,16213.12
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Fancy Saree,Mid,Walk-in,92,106,331878.9,112838.83
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,30,37,121477.75,41302.47
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Kids Wear,Value,Exhibition Stall,29,42,32935.98,13503.76
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Kids Wear,Value,Online,9,11,12911.44,5293.7
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Kids Wear,Value,Walk-in,57,62,63203.25,25913.34
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Kids Wear,Value,WhatsApp Order,19,22,21558.02,8838.79
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Readymade,Mid,Exhibition Stall,29,40,82791.95,31460.93
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Readymade,Mid,Online,12,13,31336.62,11907.91
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Readymade,Mid,Walk-in,88,105,230273.31,87503.86
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Readymade,Mid,WhatsApp Order,16,16,37508.39,14253.19
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,14,18,224020.26,53764.87
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Silk Saree,Premium,Online,6,6,70044.42,16810.67
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Silk Saree,Premium,Walk-in,32,32,423382.85,101611.87
FY2025-26,2025,7,July,Aadi,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,9,15,200337.02,48080.89
FY2025-26,2025,7,July,Aadi,RS Puram,Accessories,Value,Exhibition Stall,17,17,6237.51,2869.26
FY2025-26,2025,7,July,Aadi,RS Puram,Accessories,Value,Online,8,12,5671.4,2608.84
FY2025-26,2025,7,July,Aadi,RS Puram,Accessories,Value,Walk-in,47,56,22259.1,10239.2
FY2025-26,2025,7,July,Aadi,RS Puram,Accessories,Value,WhatsApp Order,13,15,6736.29,3098.69
FY2025-26,2025,7,July,Aadi,RS Puram,Cotton Saree,Value,Exhibition Stall,27,30,37635.21,11666.9
FY2025-26,2025,7,July,Aadi,RS Puram,Cotton Saree,Value,Online,10,10,14972.85,4641.59
FY2025-26,2025,7,July,Aadi,RS Puram,Cotton Saree,Value,Walk-in,90,106,153133.66,47471.49
FY2025-26,2025,7,July,Aadi,RS Puram,Cotton Saree,Value,WhatsApp Order,23,25,36124.93,11198.72
FY2025-26,2025,7,July,Aadi,RS Puram,Fancy Saree,Mid,Exhibition Stall,16,17,50594.77,17202.22
FY2025-26,2025,7,July,Aadi,RS Puram,Fancy Saree,Mid,Online,6,7,20716.13,7043.5
FY2025-26,2025,7,July,Aadi,RS Puram,Fancy Saree,Mid,Walk-in,48,52,165152.73,56151.9
FY2025-26,2025,7,July,Aadi,RS Puram,Fancy Saree,Mid,WhatsApp Order,19,24,77229.8,26258.15
FY2025-26,2025,7,July,Aadi,RS Puram,Kids Wear,Value,Exhibition Stall,7,8,6522.78,2674.34
FY2025-26,2025,7,July,Aadi,RS Puram,Kids Wear,Value,Online,9,12,11558.76,4739.11
FY2025-26,2025,7,July,Aadi,RS Puram,Kids Wear,Value,Walk-in,31,38,35457.88,14537.75
FY2025-26,2025,7,July,Aadi,RS Puram,Kids Wear,Value,WhatsApp Order,8,12,11594.55,4753.75
FY2025-26,2025,7,July,Aadi,RS Puram,Readymade,Mid,Exhibition Stall,22,24,53746.4,20423.62
FY2025-26,2025,7,July,Aadi,RS Puram,Readymade,Mid,Online,8,8,17757.12,6747.72
FY2025-26,2025,7,July,Aadi,RS Puram,Readymade,Mid,Walk-in,51,66,148244.6,56332.95
FY2025-26,2025,7,July,Aadi,RS Puram,Readymade,Mid,WhatsApp Order,15,19,43168.12,16403.89
FY2025-26,2025,7,July,Aadi,RS Puram,Silk Saree,Premium,Exhibition Stall,10,12,138594.58,33262.7
FY2025-26,2025,7,July,Aadi,RS Puram,Silk Saree,Premium,Online,5,9,117785.13,28268.43
FY2025-26,2025,7,July,Aadi,RS Puram,Silk Saree,Premium,Walk-in,30,38,517594.35,124222.65
FY2025-26,2025,7,July,Aadi,RS Puram,Silk Saree,Premium,WhatsApp Order,12,15,209452.98,50268.73
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Accessories,Value,Exhibition Stall,19,20,8044.07,3700.28
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Accessories,Value,Online,12,16,8206.67,3775.06
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Accessories,Value,Walk-in,58,74,30938.44,14231.73
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Accessories,Value,WhatsApp Order,40,52,20650.97,9499.42
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,50,58,83142.37,25774.12
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Cotton Saree,Value,Online,16,19,30175.35,9354.36
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Cotton Saree,Value,Walk-in,109,139,201947.81,62603.81
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,30,36,55210.32,17115.2
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,41,50,141461.25,48096.85
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Fancy Saree,Mid,Online,14,18,58781.22,19985.63
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Fancy Saree,Mid,Walk-in,100,127,410721.06,139645.16
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,43,50,150746.34,51253.76
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Kids Wear,Value,Exhibition Stall,18,18,16036.1,6574.81
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Kids Wear,Value,Online,5,5,4773.92,1957.31
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Kids Wear,Value,Walk-in,51,60,61347.16,25152.33
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Kids Wear,Value,WhatsApp Order,18,20,20262.4,8307.6
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Readymade,Mid,Exhibition Stall,30,39,75190.55,28572.42
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Readymade,Mid,Online,16,21,49087.04,18653.07
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Readymade,Mid,Walk-in,93,114,267385.18,101606.36
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Readymade,Mid,WhatsApp Order,32,41,104967.7,39887.72
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,17,23,245024.42,58805.88
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Silk Saree,Premium,Online,9,11,119563.13,28695.16
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Silk Saree,Premium,Walk-in,42,54,713380.63,171211.37
FY2025-26,2025,8,August,Aadi,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,18,24,311617.79,74788.27
FY2025-26,2025,8,August,Aadi,RS Puram,Accessories,Value,Exhibition Stall,11,15,7817.09,3595.83
FY2025-26,2025,8,August,Aadi,RS Puram,Accessories,Value,Online,9,14,5829.58,2681.61
FY2025-26,2025,8,August,Aadi,RS Puram,Accessories,Value,Walk-in,43,49,21382.78,9836.06
FY2025-26,2025,8,August,Aadi,RS Puram,Accessories,Value,WhatsApp Order,19,22,9871.04,4540.67
FY2025-26,2025,8,August,Aadi,RS Puram,Cotton Saree,Value,Exhibition Stall,39,50,66444.54,20597.8
FY2025-26,2025,8,August,Aadi,RS Puram,Cotton Saree,Value,Online,19,21,30912.15,9582.76
FY2025-26,2025,8,August,Aadi,RS Puram,Cotton Saree,Value,Walk-in,85,106,154977.22,48042.91
FY2025-26,2025,8,August,Aadi,RS Puram,Cotton Saree,Value,WhatsApp Order,22,26,36940.74,11451.65
FY2025-26,2025,8,August,Aadi,RS Puram,Fancy Saree,Mid,Exhibition Stall,21,30,92316.32,31387.55
FY2025-26,2025,8,August,Aadi,RS Puram,Fancy Saree,Mid,Online,10,15,40705.05,13839.72
FY2025-26,2025,8,August,Aadi,RS Puram,Fancy Saree,Mid,Walk-in,65,72,221714.06,75382.82
FY2025-26,2025,8,August,Aadi,RS Puram,Fancy Saree,Mid,WhatsApp Order,23,25,77703.59,26419.26
FY2025-26,2025,8,August,Aadi,RS Puram,Kids Wear,Value,Exhibition Stall,16,18,14644.99,6004.44
FY2025-26,2025,8,August,Aadi,RS Puram,Kids Wear,Value,Online,5,7,7393.06,3031.16
FY2025-26,2025,8,August,Aadi,RS Puram,Kids Wear,Value,Walk-in,36,47,44196.69,18120.6
FY2025-26,2025,8,August,Aadi,RS Puram,Kids Wear,Value,WhatsApp Order,13,13,12426.46,5094.85
FY2025-26,2025,8,August,Aadi,RS Puram,Readymade,Mid,Exhibition Stall,29,33,70373.89,26742.05
FY2025-26,2025,8,August,Aadi,RS Puram,Readymade,Mid,Online,10,13,24224.56,9205.34
FY2025-26,2025,8,August,Aadi,RS Puram,Readymade,Mid,Walk-in,52,64,143954.1,54702.56
FY2025-26,2025,8,August,Aadi,RS Puram,Readymade,Mid,WhatsApp Order,13,17,39272.88,14923.71
FY2025-26,2025,8,August,Aadi,RS Puram,Silk Saree,Premium,Exhibition Stall,12,14,182521.55,43805.15
FY2025-26,2025,8,August,Aadi,RS Puram,Silk Saree,Premium,Online,9,12,146027.65,35046.64
FY2025-26,2025,8,August,Aadi,RS Puram,Silk Saree,Premium,Walk-in,29,38,493081.29,118339.51
FY2025-26,2025,8,August,Aadi,RS Puram,Silk Saree,Premium,WhatsApp Order,1,1,13443.88,3226.53
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Accessories,Value,Exhibition Stall,39,52,23288.65,10712.81
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Accessories,Value,Online,22,22,9286.57,4271.82
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Accessories,Value,Walk-in,127,158,70564.19,32459.54
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Accessories,Value,WhatsApp Order,31,35,16157.47,7432.43
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,64,72,98592.51,30563.68
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Cotton Saree,Value,Online,23,29,42406.03,13145.89
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Cotton Saree,Value,Walk-in,161,200,285544.42,88518.83
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,45,49,75624.12,23443.49
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,57,68,200269.19,68091.51
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Fancy Saree,Mid,Online,21,23,68868.07,23415.14
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Fancy Saree,Mid,Walk-in,153,183,575805.54,195773.81
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,40,47,156094.2,53072.05
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Kids Wear,Value,Exhibition Stall,23,26,21196.99,8690.78
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Kids Wear,Value,Online,10,12,11397.43,4672.93
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Kids Wear,Value,Walk-in,91,116,114658.61,47010.04
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Kids Wear,Value,WhatsApp Order,33,38,38291.62,15699.56
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Readymade,Mid,Exhibition Stall,45,57,129387.73,49167.33
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Readymade,Mid,Online,22,31,65598.18,24927.29
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Readymade,Mid,Walk-in,119,135,301953.45,114742.41
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Readymade,Mid,WhatsApp Order,38,52,105553.92,40110.5
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,22,25,309097.66,74183.45
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Silk Saree,Premium,Online,13,16,199843.46,47962.42
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Silk Saree,Premium,Walk-in,66,82,1078013.38,258723.2
FY2025-26,2025,9,September,Pre-festive,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,8,10,121279.3,29107.02
FY2025-26,2025,9,September,Pre-festive,RS Puram,Accessories,Value,Exhibition Stall,33,40,15526.95,7142.4
FY2025-26,2025,9,September,Pre-festive,RS Puram,Accessories,Value,Online,9,10,4287.2,1972.11
FY2025-26,2025,9,September,Pre-festive,RS Puram,Accessories,Value,Walk-in,71,82,36084.6,16598.92
FY2025-26,2025,9,September,Pre-festive,RS Puram,Accessories,Value,WhatsApp Order,23,29,13211.34,6077.22
FY2025-26,2025,9,September,Pre-festive,RS Puram,Cotton Saree,Value,Exhibition Stall,45,52,72357.87,22430.93
FY2025-26,2025,9,September,Pre-festive,RS Puram,Cotton Saree,Value,Online,21,21,33757.0,10464.68
FY2025-26,2025,9,September,Pre-festive,RS Puram,Cotton Saree,Value,Walk-in,125,142,210590.86,65283.21
FY2025-26,2025,9,September,Pre-festive,RS Puram,Cotton Saree,Value,WhatsApp Order,38,47,68789.46,21324.74
FY2025-26,2025,9,September,Pre-festive,RS Puram,Fancy Saree,Mid,Exhibition Stall,35,41,124323.52,42270.0
FY2025-26,2025,9,September,Pre-festive,RS Puram,Fancy Saree,Mid,Online,10,12,42205.53,14349.88
FY2025-26,2025,9,September,Pre-festive,RS Puram,Fancy Saree,Mid,Walk-in,108,149,507447.0,172531.97
FY2025-26,2025,9,September,Pre-festive,RS Puram,Fancy Saree,Mid,WhatsApp Order,40,49,147785.57,50247.09
FY2025-26,2025,9,September,Pre-festive,RS Puram,Kids Wear,Value,Exhibition Stall,23,36,32140.92,13177.79
FY2025-26,2025,9,September,Pre-festive,RS Puram,Kids Wear,Value,Online,8,8,7804.05,3199.66
FY2025-26,2025,9,September,Pre-festive,RS Puram,Kids Wear,Value,Walk-in,48,58,54094.9,22178.91
FY2025-26,2025,9,September,Pre-festive,RS Puram,Kids Wear,Value,WhatsApp Order,13,14,13766.7,5644.35
FY2025-26,2025,9,September,Pre-festive,RS Puram,Readymade,Mid,Exhibition Stall,28,35,72012.46,27364.72
FY2025-26,2025,9,September,Pre-festive,RS Puram,Readymade,Mid,Online,17,19,47619.8,18095.53
FY2025-26,2025,9,September,Pre-festive,RS Puram,Readymade,Mid,Walk-in,80,98,219214.25,83301.41
FY2025-26,2025,9,September,Pre-festive,RS Puram,Readymade,Mid,WhatsApp Order,28,38,89188.57,33891.66
FY2025-26,2025,9,September,Pre-festive,RS Puram,Silk Saree,Premium,Exhibition Stall,24,32,398997.58,95759.43
FY2025-26,2025,9,September,Pre-festive,RS Puram,Silk Saree,Premium,Online,10,14,182441.02,43785.84
FY2025-26,2025,9,September,Pre-festive,RS Puram,Silk Saree,Premium,Walk-in,50,60,769773.49,184745.63
FY2025-26,2025,9,September,Pre-festive,RS Puram,Silk Saree,Premium,WhatsApp Order,11,13,173584.6,41660.3
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Accessories,Value,Exhibition Stall,69,90,33502.58,15411.13
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Accessories,Value,Online,18,22,9936.42,4570.76
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Accessories,Value,Walk-in,198,232,92840.93,42706.87
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Accessories,Value,WhatsApp Order,57,67,23851.0,10971.46
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,106,127,172060.26,53338.69
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Cotton Saree,Value,Online,34,43,61662.45,19115.38
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Cotton Saree,Value,Walk-in,307,372,518080.56,160605.05
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,97,125,177992.78,55177.77
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,111,134,398021.19,135327.19
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Fancy Saree,Mid,Online,36,43,123631.61,42034.74
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Fancy Saree,Mid,Walk-in,306,360,1075607.54,365706.62
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,106,121,382438.01,130028.92
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Kids Wear,Value,Exhibition Stall,57,71,69907.9,28662.24
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Kids Wear,Value,Online,25,32,32973.51,13519.14
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Kids Wear,Value,Walk-in,150,186,175733.86,72050.9
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Kids Wear,Value,WhatsApp Order,42,53,51261.65,21017.28
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Readymade,Mid,Exhibition Stall,70,89,181359.38,68916.57
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Readymade,Mid,Online,40,48,115236.41,43789.84
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Readymade,Mid,Walk-in,226,277,617199.65,234535.87
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Readymade,Mid,WhatsApp Order,60,75,153798.39,58443.38
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,47,51,599212.44,143810.96
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Silk Saree,Premium,Online,15,16,190662.8,45759.08
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Silk Saree,Premium,Walk-in,126,170,2092837.9,502281.08
FY2025-26,2025,10,October,Deepavali,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,37,45,556979.17,133675.02
FY2025-26,2025,10,October,Deepavali,RS Puram,Accessories,Value,Exhibition Stall,45,51,20472.78,9417.45
FY2025-26,2025,10,October,Deepavali,RS Puram,Accessories,Value,Online,16,16,7782.11,3579.74
FY2025-26,2025,10,October,Deepavali,RS Puram,Accessories,Value,Walk-in,107,125,53352.18,24541.98
FY2025-26,2025,10,October,Deepavali,RS Puram,Accessories,Value,WhatsApp Order,40,50,20913.97,9620.46
FY2025-26,2025,10,October,Deepavali,RS Puram,Cotton Saree,Value,Exhibition Stall,77,100,136927.94,42447.69
FY2025-26,2025,10,October,Deepavali,RS Puram,Cotton Saree,Value,Online,30,41,55382.22,17168.51
FY2025-26,2025,10,October,Deepavali,RS Puram,Cotton Saree,Value,Walk-in,210,256,362509.38,112377.92
FY2025-26,2025,10,October,Deepavali,RS Puram,Cotton Saree,Value,WhatsApp Order,54,66,88421.67,27410.71
FY2025-26,2025,10,October,Deepavali,RS Puram,Fancy Saree,Mid,Exhibition Stall,76,99,301717.56,102584.0
FY2025-26,2025,10,October,Deepavali,RS Puram,Fancy Saree,Mid,Online,27,35,103806.99,35294.38
FY2025-26,2025,10,October,Deepavali,RS Puram,Fancy Saree,Mid,Walk-in,173,213,650568.39,221193.26
FY2025-26,2025,10,October,Deepavali,RS Puram,Fancy Saree,Mid,WhatsApp Order,61,71,205947.7,70022.24
FY2025-26,2025,10,October,Deepavali,RS Puram,Kids Wear,Value,Exhibition Stall,37,55,53560.4,21959.73
FY2025-26,2025,10,October,Deepavali,RS Puram,Kids Wear,Value,Online,20,24,22245.84,9120.8
FY2025-26,2025,10,October,Deepavali,RS Puram,Kids Wear,Value,Walk-in,95,111,101559.64,41639.48
FY2025-26,2025,10,October,Deepavali,RS Puram,Kids Wear,Value,WhatsApp Order,33,45,41465.92,17001.02
FY2025-26,2025,10,October,Deepavali,RS Puram,Readymade,Mid,Exhibition Stall,40,44,90890.23,34538.29
FY2025-26,2025,10,October,Deepavali,RS Puram,Readymade,Mid,Online,17,22,48751.32,18525.49
FY2025-26,2025,10,October,Deepavali,RS Puram,Readymade,Mid,Walk-in,136,158,355864.31,135228.47
FY2025-26,2025,10,October,Deepavali,RS Puram,Readymade,Mid,WhatsApp Order,42,48,100233.01,38088.53
FY2025-26,2025,10,October,Deepavali,RS Puram,Silk Saree,Premium,Exhibition Stall,25,30,338603.82,81264.93
FY2025-26,2025,10,October,Deepavali,RS Puram,Silk Saree,Premium,Online,13,15,208294.16,49990.59
FY2025-26,2025,10,October,Deepavali,RS Puram,Silk Saree,Premium,Walk-in,80,99,1189295.1,285430.8
FY2025-26,2025,10,October,Deepavali,RS Puram,Silk Saree,Premium,WhatsApp Order,30,39,445570.05,106936.81
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Accessories,Value,Exhibition Stall,71,88,35665.88,16406.31
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Accessories,Value,Online,31,35,15379.26,7074.44
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Accessories,Value,Walk-in,145,174,72683.48,33434.41
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Accessories,Value,WhatsApp Order,43,49,20012.45,9205.75
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Cotton Saree,Value,Exhibition Stall,92,107,141389.56,43830.73
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Cotton Saree,Value,Online,33,41,58003.26,17980.98
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Cotton Saree,Value,Walk-in,253,310,418100.73,129611.27
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Cotton Saree,Value,WhatsApp Order,76,92,126033.26,39070.36
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Fancy Saree,Mid,Exhibition Stall,108,123,381748.2,129794.41
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Fancy Saree,Mid,Online,37,43,131680.16,44771.26
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Fancy Saree,Mid,Walk-in,268,319,991698.29,337177.45
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Fancy Saree,Mid,WhatsApp Order,69,79,237118.27,80620.23
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Kids Wear,Value,Exhibition Stall,40,48,45423.14,18623.46
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Kids Wear,Value,Online,18,21,21929.92,8991.28
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Kids Wear,Value,Walk-in,122,143,132419.37,54291.95
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Kids Wear,Value,WhatsApp Order,34,42,37859.57,15522.41
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Readymade,Mid,Exhibition Stall,69,84,169280.16,64326.46
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Readymade,Mid,Online,24,26,56784.55,21578.12
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Readymade,Mid,Walk-in,168,206,454825.38,172833.65
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Readymade,Mid,WhatsApp Order,56,62,126366.45,48019.24
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Silk Saree,Premium,Exhibition Stall,37,45,557515.21,133803.64
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Silk Saree,Premium,Online,16,17,215160.49,51638.53
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Silk Saree,Premium,Walk-in,119,132,1617910.17,388298.42
FY2025-26,2025,11,November,Deepavali,Cross Cut Road,Silk Saree,Premium,WhatsApp Order,30,34,403847.14,96923.3
FY2025-26,2025,11,November,Deepavali,RS Puram,Accessories,Value,Exhibition Stall,41,48,18207.33,8375.38
FY2025-26,2025,11,November,Deepavali,RS Puram,Accessories,Value,Online,16,17,6889.43,3169.11
FY2025-26,2025,11,November,Deepavali,RS Puram,Accessories,Value,Walk-in,102,130,55949.53,25736.76
FY2025-26,2025,11,November,Deepavali,RS Puram,Accessories,Value,WhatsApp Order,43,59,24868.67,11439.58
FY2025-26,2025,11,November,Deepavali,RS Puram,Cotton Saree,Value,Exhibition Stall,72,92,118768.86,36818.36
FY2025-26,2025,11,November,Deepavali,RS Puram,Cotton Saree,Value,Online,35,45,60099.68,18630.9
FY2025-26,2025,11,November,Deepavali,RS Puram,Cotton Saree,Value,Walk-in,174,211,298385.69,92499.5
FY2025-26,2025,11,November,Deepavali,RS Puram,Cotton Saree,Value,WhatsApp Order,54,68,96649.74,29961.42
FY2025-26,2025,11,November,Deepavali,RS Puram,Fancy Saree,Mid,Exhibition Stall,64,78,235929.87,80216.17
FY2025-26,2025,11,November,Deepavali,RS Puram,Fancy Saree,Mid,Online,19,21,65312.02,22206.08
FY2025-26,2025,11,November,Deepavali,RS Puram,Fancy Saree,Mid,Walk-in,159,202,625555.03,212688.71
FY2025-26,2025,11,November,Deepavali,RS Puram,Fancy Saree,Mid,WhatsApp Order,71,83,256419.8,87182.72
FY2025-26,2025,11,November,Deepavali,RS Puram,Kids Wear,Value,Exhibition Stall,25,27,23553.15,9656.77
FY2025-26,2025,11,November,Deepavali,RS Puram,Kids Wear,Value,Online,7,7,7210.6,2956.35
FY2025-26,2025,11,November,Deepavali,RS Puram,Kids Wear,Value,Walk-in,77,97,94056.35,38563.08
FY2025-26,2025,11,November,Deepavali,RS Puram,Kids Wear,Value,WhatsApp Order,26,34,33005.16,13532.12
FY2025-26,2025,11,November,Deepavali,RS Puram,Readymade,Mid,Exhibition Stall,33,39,73050.92,27759.35
FY2025-26,2025,11,November,Deepavali,RS Puram,Readymade,Mid,Online,14,18,42341.42,16089.74
FY2025-26,2025,11,November,Deepavali,RS Puram,Readymade,Mid,Walk-in,114,136,294680.32,111978.48
FY2025-26,2025,11,November,Deepavali,RS Puram,Readymade,Mid,WhatsApp Order,35,38,93057.77,35361.94
FY2025-26,2025,11,November,Deepavali,RS Puram,Silk Saree,Premium,Exhibition Stall,25,29,318793.94,76510.55
FY2025-26,2025,11,November,Deepavali,RS Puram,Silk Saree,Premium,Online,18,25,306860.72,73646.58
FY2025-26,2025,11,November,Deepavali,RS Puram,Silk Saree,Premium,Walk-in,79,90,1140876.06,273810.27
FY2025-26,2025,11,November,Deepavali,RS Puram,Silk Saree,Premium,WhatsApp Order,32,40,511666.84,122800.03
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Accessories,Value,Exhibition Stall,53,60,24757.39,11388.4
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Accessories,Value,Online,15,23,8155.35,3751.47
FY2025-26,2025,12,December,Year-end,Cross Cut Road,Accessories,Value,Walk-in,100,116,50886.87,23407.92
